date,value
2016-08-02,104.715161
2016-08-03,104.703548
2016-08-04,104.398387
2016-08-05,104.487097
2016-08-08,104.554548
2016-08-09,104.612581
2016-08-10,104.536129
2016-08-11,104.52
2016-08-12,104.550968
2016-08-15,104.573548
2016-08-16,104.606129
2016-08-17,104.612581
2016-08-18,104.614839
2016-08-19,104.610645
2016-08-22,104.625484
2016-08-23,104.667419
2016-08-24,104.682903
2016-08-25,104.690323
2016-08-26,104.693871
2016-08-29,104.689355
2016-08-30,104.711936
2016-08-31,104.710968
2016-09-01,104.65
2016-09-02,104.490323
2016-09-05,104.372903
2016-09-06,104.463871
2016-09-07,104.499677
2016-09-08,104.355484
2016-09-09,104.306774
2016-09-15,104.451613
2016-09-16,104.51871
2016-09-19,104.524839
2016-09-20,104.468065
2016-09-21,104.566452
2016-09-22,104.685484
2016-09-23,104.7
2016-09-26,104.709032
2016-09-27,104.680645
2016-09-28,104.629032
2016-09-29,104.576452
2016-09-30,104.602581
2016-10-03,104.449355
2016-10-04,104.457742
2016-10-05,104.459677
2016-10-06,104.459032
2016-10-07,104.473226
2016-10-10,104.507419
2016-10-13,104.56
2016-10-14,104.589355
2016-10-17,104.634194
2016-10-18,104.667419
2016-10-19,104.587097
2016-10-20,104.631936
2016-10-21,104.669677
2016-10-24,104.696774
2016-10-25,104.714194
2016-10-26,104.695484
2016-10-27,104.689677
2016-10-28,104.716774
2016-10-31,104.712258
2016-11-01,104.713
2016-11-02,104.692333
2016-11-03,104.701333
2016-11-04,104.661667
2016-11-07,104.640333
2016-11-08,104.63035
2016-11-09,104.641
2016-11-10,104.621667
2016-11-11,104.634667
2016-11-14,104.689667
2016-11-15,104.692
2016-11-16,104.688333
2016-11-17,104.707333
2016-11-18,104.718
2016-11-21,104.721333
2016-11-22,104.734667
2016-11-23,104.726
2016-11-24,104.724333
2016-11-25,104.722667
2016-11-28,104.733333
2016-11-29,104.733333
2016-11-30,104.730333
2016-12-01,104.728333
2016-12-02,104.722
2016-12-05,104.716
2016-12-06,104.710333
2016-12-07,104.695667
2016-12-08,104.685
2016-12-09,104.684333
2016-12-13,104.704667
2016-12-14,104.724333
2016-12-15,104.732
2016-12-16,104.731
2016-12-19,104.74
2016-12-20,104.740667
2016-12-21,104.736333
2016-12-22,104.744
2016-12-23,104.741333
2016-12-26,104.745
2016-12-27,104.747
2016-12-28,104.752667
2016-12-29,104.747667
2016-12-30,104.692667
2017-01-03,104.608667
2017-01-04,104.720333
2017-01-05,104.72
2017-01-06,104.712667
2017-01-09,104.716
2017-01-10,104.725667
2017-01-11,104.731333
2017-01-12,104.733333
2017-01-13,104.739973
2017-01-16,104.738333
2017-01-17,104.744
2017-01-18,104.737667
2017-01-19,104.739333
2017-01-20,104.742333
2017-01-23,104.74
2017-01-24,104.747667
2017-01-25,104.747
2017-01-26,104.751
2017-01-27,104.742667
2017-01-30,104.751
2017-01-31,104.743667
2017-02-01,104.735333
2017-02-02,104.713333
2017-02-03,104.713667
2017-02-06,104.702667
2017-02-07,104.705333
2017-02-08,104.709
2017-02-09,104.714333
2017-02-10,104.710333
2017-02-13,104.710333
2017-02-14,104.712667
2017-02-15,104.714
2017-02-16,104.717333
2017-02-17,104.722333
2017-02-20,104.686333
2017-02-21,104.733
2017-02-22,104.733
2017-02-23,104.741333
2017-02-24,104.747333
2017-02-27,104.742
2017-02-28,104.744667
2017-03-01,104.741333
2017-03-02,104.735667
2017-03-03,104.734667
2017-03-06,104.741333
2017-03-07,104.740667
2017-03-08,104.741
2017-03-09,104.739
2017-03-10,104.74
2017-03-13,104.739667
2017-03-14,104.737667
2017-03-15,104.738333
2017-03-16,104.740667
2017-03-17,104.739
2017-03-20,104.742667
2017-03-21,104.742667
2017-03-22,104.744333
2017-03-24,104.747
2017-03-27,104.746333
2017-03-28,104.746
2017-03-29,104.748
2017-03-30,104.747333
2017-03-31,104.743667
2017-04-03,104.744333
2017-04-04,104.746
2017-04-05,104.739333
2017-04-06,104.744333
2017-04-07,104.741333
2017-04-10,104.739
2017-04-11,104.746667
2017-04-12,104.748667
2017-04-13,104.75
2017-04-14,104.748667
2017-04-17,104.760667
2017-04-18,104.761333
2017-04-19,104.764333
2017-04-20,104.761333
2017-04-21,104.755667
2017-04-24,104.749667
2017-04-25,104.752
2017-04-26,104.747
2017-04-27,104.740333
2017-04-28,104.707333
2017-05-02,104.712333
2017-05-03,104.723333
2017-05-04,104.727333
2017-05-05,104.7315
2017-05-08,104.738333
2017-05-09,104.749667
2017-05-10,104.748333
2017-05-11,104.680667
2017-05-12,104.704333
2017-05-15,104.712667
2017-05-16,104.731333
2017-05-17,104.735667
2017-05-18,104.737667
2017-05-19,104.745667
2017-05-22,104.750333
2017-05-23,104.764333
2017-05-24,104.76
2017-05-25,104.761667
2017-05-26,104.765
2017-05-30,104.760333
2017-05-31,104.759333
2017-06-01,104.759667
2017-06-02,104.758667
2017-06-05,104.759667
2017-06-06,104.756
2017-06-07,104.766333
2017-06-08,104.760333
